Country_Name_attr,Country__attrCode,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Algeria,DZA,11.85169244,12.05936894,12.26151541,12.48740877,12.68019161,12.89806967,13.19499633,13.24867805,13.33342834,13.50249609,13.67304373,13.81337112,14.10108015,14.35837561,14.73226006,14.99294409,15.3709001,15.83001948,16.3274531,16.78856515,16.90074901,17.12614936
Angolia,AGO,47.61056422,47.7547745,48.19406736,49.42845225,49.48624754,49.11497107,48.87729531,48.64354468,48.40875583,48.46139949,48.37591888,48.36397373,47.9046462,47.89457342,47.51324554,46.89333082,46.27076404,45.63260783,45.30659765,45.60992942,45.90886738,45.97056394
Benin,BEN,42.48680939,42.40332791,42.2435466,42.65218466,43.01581845,43.50092804,44.02998202,44.66422282,45.31728309,45.95351277,46.54917309,47.09176131,47.67586101,47.6087309,47.54750477,47.50553621,47.4836438,47.47661777,47.48319051,47.50108758,47.528124,47.70076923
Botswana,BWA,46.66425057,46.67368193,46.74538684,46.74676075,46.75288962,46.82028475,46.88593557,46.88139783,46.88011373,46.87112984,46.8640724,46.84843408,46.7673236,46.81294798,46.72999117,46.7153153,46.57148782,46.5575224,46.48385815,46.41018583,46.33542376,46.25503749
Burkina Faso,BFA,48.47911138,48.50818105,48.53241175,48.4865908,48.49944351,48.44741145,48.38974757,48.33579867,48.27946455,48.21892168,48.15810591,48.08755963,48.07569909,47.93852817,47.92695721,47.79970223,47.73357953,47.73241068,47.67236423,47.61411145,47.55697858,47.50096428
Burundi,BDI,52.5048102,52.49495093,52.44932821,52.54289496,52.59983316,52.67551934,52.83445642,52.94984736,53.05480861,53.17327001,53.2217843,53.19488344,53.04756134,52.86838099,52.81454023,52.59069446,52.51350787,52.38971452,52.2819573,52.12805663,52.1131648,51.98696777
Cameroon,CMR,41.78722546,42.27697609,42.82306715,43.36324306,43.89733508,44.41591913,44.85644647,44.98324566,45.03551098,45.09479773,45.14482319,45.20175634,45.257692,45.31294806,45.36788841,45.35768834,45.41274888,45.54022615,45.5310802,45.59504839,45.66025518,45.7268754
Cape Verde,CPV,36.87699579,36.94835113,36.98716021,37.17457558,37.22843433,37.35517233,37.49858653,37.71164436,37.86187195,38.05019567,38.14654418,38.20970658,38.24734249,38.27071564,38.23428225,38.26552483,38.3263728,38.31556689,38.31447067,38.40059728,38.4213031,38.54848328
Central African Republic,CAF,45.69164177,45.82418123,46.09769998,46.22898886,46.22046248,46.20455254,46.46322051,46.38650466,46.36774426,46.41333482,46.3980663,46.51262697,46.56037551,46.74944085,46.79419454,46.83779998,46.81498712,46.85710962,46.90496242,47.01899994,47.06997402,47.05325324
Chad,TCD,45.3049461,45.06186681,44.88719495,45.54642324,45.59033945,45.57036533,45.54188514,45.583047,45.56038793,45.53662545,45.51193384,45.47896642,45.45314206,45.42740896,45.40209645,45.37739716,45.35323672,45.32971996,45.30689187,45.28516856,45.26474446,45.17563037
Comoros,COM,25.60203126,25.83065677,26.05787437,26.28280766,26.60034441,26.87147878,27.09189884,27.3610996,27.57884019,27.79633754,27.96179197,28.21849792,28.42168065,28.66157311,28.80792069,29.09286229,29.23332877,29.51176972,29.69862476,29.97106663,30.20597053,30.43901227
Dem. Rep. Congo,COD,48.74981593,48.9267446,49.17523904,49.49725511,49.59755218,49.55631193,49.51585901,49.6893596,49.79156537,49.89398351,50.13919793,50.24347281,50.27758259,50.17172094,50.13909301,50.17989153,50.08146463,49.98535198,49.96267248,49.94232498,49.8532833,49.83762324
Rep. Congo,COG,45.48708159,45.85773895,46.08054317,46.3763808,46.74470887,47.02915747,47.24166347,47.45207888,47.66104459,47.8728547,48.0795375,48.2151687,48.34986125,48.48395237,48.68723527,48.8178417,48.7321159,48.72013477,48.63789333,48.62923527,48.55120131,48.61514705
Cote d'Ivoire,CIV,30.09511824,30.59741587,31.0973182,31.60127646,32.11784578,32.72253624,33.2765657,33.89740465,34.54894411,34.84374585,35.02587624,35.27135417,35.51115746,35.80102677,36.03612669,36.19936128,36.43440549,36.72317986,36.88397386,37.17201167,37.38763317,37.61946086
Djibouti,DJI,29.5027527,30.09606273,30.32167074,30.60801165,30.78462195,31.106987,31.38619364,31.66414216,31.94034289,32.14776582,32.41825309,32.68594799,32.95113824,33.2136992,33.40675316,33.66521854,34.02221986,34.20849887,34.46124676,34.64485229,34.82723449,35.1062357
Egypt,EGY,26.51545898,23.69001644,24.46208928,23.4026248,23.80025962,22.851951,22.33006107,21.68496183,21.18336384,21.13651809,21.48241483,21.93199149,20.85032122,20.94390264,21.18601568,21.42069408,22.24848964,23.72734709,23.95039287,24.0667465,24.17937996,24.33747835
Equatorial Guinea,GNQ,45.08769404,44.97148901,44.84107016,44.70070286,44.55809389,44.47362171,44.38891003,44.36205464,44.38643494,44.36152902,44.33830145,44.36692895,44.39803545,44.4349393,44.42764654,44.48096471,44.54490295,44.56450064,44.58978408,44.67246398,44.70245401,44.72738914
Eritrea,ERI,46.96463733,47.00531064,47.07738325,46.82128016,46.40728877,46.44676654,46.37414376,46.34396303,46.50589412,46.78851833,47.34670461,47.44054385,47.72808154,48.0842731,48.30811071,48.34222093,48.49307919,48.45670947,48.66864166,48.56612362,48.58723351,48.60965739
Ethipoia,ETH,45.11001051,45.18322874,45.38150654,45.11830695,45.11150409,44.92505373,44.71721167,44.65654383,44.79025747,44.78164255,45.20058203,45.54715115,45.94006518,46.26462204,46.63925475,46.94988768,46.9936263,47.03820334,47.02354094,47.1255289,47.17225168,47.22367416
Gabon,GAB,45.15039559,44.77678092,44.89608773,44.68172763,44.71354808,44.82206842,45.01914355,45.13896293,45.33952014,45.4559537,45.54810266,45.64072664,45.79634758,45.87053265,46.02383386,46.18680256,46.2128531,46.24043415,46.2817467,46.32914587,46.30443113,46.36719794
Gambia,GMB,44.74635469,44.83957896,44.86456657,45.05258533,45.32173419,45.66015626,45.98681091,46.24959728,46.56890199,46.80329157,47.02748192,47.16777484,47.43361874,47.41663022,47.45334069,47.55271193,47.52138794,47.61379735,47.70275009,47.79358984,47.94254852,47.95652924
Ghana,GHA,48.41464042,48.55593789,48.62826078,48.5644254,48.4993354,48.43257662,48.36418439,48.36200242,48.22545321,48.154202,48.14904424,48.05274719,48.02185662,47.98823841,47.95409397,47.91960558,47.81302884,47.8026468,47.72159414,47.71354175,47.63573624,47.56239015
Guinea,GIN,45.10024742,45.01008269,45.05387754,44.95816179,44.9410509,44.84732343,44.7537922,44.66751963,44.57370695,44.55047749,44.61337757,44.66931361,44.59241541,44.57183606,44.63740403,44.70367259,44.7707184,44.84549097,44.83734733,45.05968395,45.20557619,45.2763142
Guinea-Bissau,GNB,44.51034957,44.48507535,44.41571022,44.33791416,44.12172674,44.10559876,43.69812657,43.61548699,45.60513828,45.52413535,45.50769259,45.7380218,46.27204354,46.57327415,46.64154938,46.63857925,46.78127676,46.99264142,47.12792299,47.19863705,47.26508187,47.33277898
Kenya,KEN,47.26374787,47.23344499,47.20038114,47.09491077,47.05449126,47.01024521,46.96287882,46.91261294,46.92587762,46.79377861,46.80329669,46.73361358,46.65980115,46.66215125,46.59906858,46.54911214,46.54847182,46.56025959,46.42832477,46.44389494,46.45066742,46.45994909
Lesotho,LSO,49.68411554,49.47861031,49.28648596,49.32678791,49.14453709,49.30529993,49.22090524,49.27078452,49.23316325,49.4204076,49.05176,48.75816967,48.46861509,48.17681385,47.80681089,47.49236201,47.10195376,46.77969904,46.38187074,46.22121688,45.99803767,45.93188933
Liberia,LBR,47.16552975,47.34185126,47.6838611,47.93774326,48.10294012,48.34876337,48.50677345,48.66239622,48.90081525,49.05254513,49.03520034,49.01190528,48.98748393,48.87580779,48.84335194,48.7297796,48.45090493,48.01200918,47.8224145,47.80024946,47.69639103,47.51971777
Libya,LBY,17.74105289,18.4787435,19.19123048,19.95158926,20.80217115,21.70019872,22.58828649,23.56118519,24.52001711,25.4133186,26.09826014,26.67865436,27.1061761,27.53316851,27.75569477,27.91831544,27.95913729,27.88923852,27.94227903,27.87890138,28.01248776,28.2277105
Madagascar,MDG,48.38994817,48.54962003,48.58940841,48.68512726,48.77889322,48.81431744,48.78997801,48.76403337,48.68035762,48.65130899,48.67655427,48.64199562,48.83928228,48.79925568,48.87340367,48.94583416,48.90001792,48.91069149,48.92000221,48.92844577,48.93624789,48.94355326
Malawi,MWI,50.75220798,50.68218268,50.5452913,50.47712946,50.35495476,50.31875411,50.23979645,50.18074197,50.13443567,49.90485631,49.67360027,49.44055873,49.20591233,48.97243243,48.74212325,48.51387603,49.92822968,51.09053608,51.81373324,51.70012706,51.52701034,51.35547392
Mali,MLI,38.87569167,38.6970218,38.34878811,38.71530038,38.79119397,38.61359597,38.49314625,38.14528545,37.89990031,37.57977008,37.53315653,36.88006331,36.65973759,36.23999634,36.22158918,36.06311843,35.97522465,35.88813063,35.63702307,35.55476836,35.47547292,35.30328134
Mauritania,MRT,19.97130882,20.20211733,20.53570676,20.5869457,21.41327546,21.12028334,21.21961058,22.23591733,22.64140019,22.72235145,23.31662184,23.75229624,24.37538488,24.5926261,24.90617934,25.1216376,24.12376041,25.36271784,25.62695629,26.40521173,26.52511714,26.745732
Mauritius,MUS,31.75776094,32.0224772,32.18035157,32.37781281,32.72459659,32.8585691,33.17206059,33.49521068,33.8502708,34.20211656,34.51843721,34.74135379,34.74429314,34.74144766,34.70862058,35.84512739,36.24500465,35.92444053,36.75330515,37.14382174,37.6511935,37.83955378
Morocco,MAR,25.26001281,25.70873242,25.72035998,25.82961963,26.3751893,26.43560365,27.17782675,27.38385168,28.12130705,28.46858793,27.88029841,25.44690913,25.16521286,26.98728759,27.73149355,27.68357283,27.38652851,27.42187165,27.10378634,26.58059003,27.08443212,27.42337402
Mozambique,MOZ,55.48759005,55.6651576,55.97987197,56.00643878,56.05622141,56.02582213,55.98944814,55.87267102,55.60643257,55.28095662,55.0283442,54.91472536,54.74922387,54.58912207,54.49518147,54.2711892,54.16862518,54.00040555,53.83211092,53.66231542,53.55629442,53.32618195
Namibia,NAM,44.528163,44.74728586,44.79294019,45.23822794,45.28971297,45.14293202,45.00352314,44.87474633,44.68313346,44.59176706,44.41623944,44.7805592,45.1218674,45.35439189,45.65041731,45.84816282,46.02538527,46.11218085,46.34599184,46.2960878,46.32875304,46.29226134
Niger,NER,22.62042702,23.53959569,24.33866705,25.23336428,26.0517731,26.88620638,27.68769802,28.45899766,29.25674963,30.07974869,30.94703509,31.86551633,31.55525173,31.26034359,31.01981921,30.90486682,30.96065432,31.0139326,31.0175848,31.14768881,31.20026863,31.253744
Nigeria,NGA,34.45660586,34.88450749,35.46307277,35.89124675,36.471091,36.96283692,37.54374505,38.125616,38.70852683,39.45204359,40.11049638,40.86275268,41.60475068,42.44531491,43.37454671,43.27513385,43.18931362,43.09290237,43.0099938,43.00592426,42.83524515,42.83252023
Rwanda,RWA,51.03422763,51.08234848,51.21224618,51.34961779,51.60120011,51.6949839,51.57348159,51.87368745,51.99335422,52.17248717,52.31555627,52.47852203,52.46646851,52.33803096,52.33694599,52.21861481,52.1077718,52.06544837,51.96856601,51.87422011,51.78118069,51.74885922
Sao Tome and Principe,STP,33.38157687,33.51519606,33.72689004,33.85455148,34.13344434,34.25779076,34.46900531,34.70696108,34.85066011,35.11781586,35.26348056,35.43991762,35.58099535,35.81090648,35.95147321,36.14746033,36.42914217,36.61961866,36.84187544,36.99459598,37.20133471,37.42179645
Senegal,SEN,41.49743073,41.59191466,41.80452152,41.96536722,42.20370922,42.31363979,42.45176108,42.65896529,42.73698882,42.79659504,42.9290625,43.10072029,43.27907086,43.36071614,43.43954877,43.39585211,43.55472987,43.58009005,43.67052309,43.8233739,43.90393412,43.91237951
Seychelles,SYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,SLE,50.27412701,50.32065235,51.23128958,51.28611854,51.41671314,51.85504353,51.73609587,52.63290726,52.81614869,53.23126346,53.17087042,52.63454788,51.69969113,51.47222855,51.32721639,51.24965665,51.16612165,51.00151594,50.91037883,50.81759343,50.72283479,50.55303763
Somalia,SOM,31.83936381,31.927671,32.01591394,32.1948944,32.28333964,32.31457832,32.49413657,32.46817454,32.58972943,32.71030706,32.82951671,32.85773705,32.9428033,32.96961069,33.05444316,33.1400086,33.22631406,33.31316725,33.40011823,33.48666941,33.63145139,33.71661529
South Africa,ZAF,34.97588392,35.99622662,37.31084725,38.31852787,39.17595643,40.0143349,40.61097977,41.29426723,41.97975998,42.64509658,43.07746239,43.59201112,43.79933476,44.0921463,43.86755631,43.74881136,43.44942656,43.24385503,43.27437901,43.07166294,42.78363172,42.69130412
South Sudan,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,26.02459267,25.9341986,25.84129706,25.79708606,26.22251987,26.73995911,27.44957523,27.58447269,27.62256412,27.75581619,27.88733603,27.86815254,27.99630303,28.12363177,28.19771641,28.23144579,28.3607726,28.49079044,28.47388737,28.60410754,28.73380549,28.76985795
Swaziland,SWZ,41.69689338,41.44288195,41.18271837,40.81145163,40.60260193,40.38102703,40.20813365,40.25748771,40.34096518,40.33091713,40.32352838,40.26864049,40.21951331,40.06723204,39.91891574,39.87739419,39.85180873,39.76829083,39.76652022,39.62983137,39.6574048,39.52583442
Tanzania,TZA,49.80199468,49.78047269,49.81519338,49.84720398,49.87860158,49.85045312,49.81998281,49.84337934,49.75152405,49.71515969,49.73338048,49.63730911,49.71500553,49.79082415,49.92279395,50.05587934,50.07754798,50.04360859,49.95500639,49.86851872,49.8392189,49.81137697
Togo,TGO,45.07052206,45.56283042,45.98325139,46.46561294,46.8099559,47.27708201,47.61291205,48.00646159,48.33487698,48.65675462,48.97569807,49.35394473,49.60337624,49.91423505,50.22188601,50.46460552,50.70643001,50.69466158,50.62042886,50.54721723,50.47495961,50.52906882
Tunisia,TUN,21.62674032,21.89285506,22.25755392,22.56219524,22.97123022,23.3831274,23.74888948,24.21886511,24.37640949,24.64376561,24.91803777,25.19972599,25.48832581,25.78169657,26.02105324,26.42448273,26.53994369,26.65107346,26.70221605,26.80955384,26.8605585,26.96913202
Uganda,UGA,50.78264298,50.78343247,50.78359178,50.65876251,50.59299953,50.46182455,50.32747994,50.31352102,50.17328422,50.02966833,50.00725416,49.92103592,49.83299639,49.73758013,49.64082945,49.47906448,49.45920497,49.37878663,49.36292454,49.28393682,49.2686877,49.2513782
Zambia,ZMB,46.76817698,46.94835197,47.06623991,47.04472313,47.28563399,47.39094189,47.35820147,47.32630724,47.35827966,47.31996455,47.21550204,47.10355041,46.93009733,46.75195955,46.57623546,46.34691641,46.30663274,46.27086956,46.18043742,46.14944508,46.11866012,46.08814456
Zimbabwe,ZWE,46.29643408,46.27120086,46.25505393,46.30581751,46.3414588,46.36572177,46.36467422,46.41831766,45.91708127,45.53564591,46.38403348,47.16260632,47.759953,48.32088083,48.7405752,48.81053804,48.95831769,49.12067363,49.21686326,49.33567518,49.33842092,49.28262567
